('2073', (1149.0, 58), (1186.0, 81))
('2074', (1304.0, 81), (1342.0, 58))
('2075', (1179.0, 58), (1216.0, 81))
('2077', (1209.0, 58), (1246.0, 81))
('2079', (1239.0, 58), (1276.0, 81))
('3112', (358.0, 81), (389.0, 128))
('3114', (346.0, 27), (419.0, 128))
('3116', (376.0, 27), (449.0, 128))
('3117', (368.0, 81), (422.0, 74))
('3118', (387.0, 74), (479.0, 128))
('3119', (398.0, 81), (452.0, 74))
('3120', (417.0, 74), (509.0, 128))
('8810', (353.0, 8), (367.0, 112))
('8812', (355.0, 81), (397.0, 111))
('8814', (385.0, 81), (427.0, 111))
('8816', (415.0, 81), (457.0, 111))
('8818', (445.0, 81), (487.0, 111))
('8819', (352.0, 111), (395.0, 81))
('8820', (475.0, 81), (517.0, 111))
('8821', (382.0, 111), (425.0, 81))
('8822', (505.0, 81), (547.0, 111))
('8823', (412.0, 111), (455.0, 81))
('8824', (535.0, 81), (577.0, 111))
('8825', (442.0, 111), (485.0, 81))
('8826', (565.0, 81), (607.0, 111))
('8827', (472.0, 111), (515.0, 81))
('8828', (595.0, 81), (637.0, 111))
('8829', (502.0, 111), (545.0, 81))
('8830', (625.0, 81), (667.0, 111))
('8831', (532.0, 111), (575.0, 81))
('8832', (655.0, 81), (697.0, 111))
('8833', (562.0, 111), (605.0, 81))
('8834', (685.0, 81), (727.0, 111))
('8835', (592.0, 111), (635.0, 81))
('8836', (715.0, 81), (757.0, 111))
('8837', (622.0, 111), (665.0, 81))
('8838', (745.0, 81), (787.0, 111))
('8839', (652.0, 111), (695.0, 81))
('8840', (775.0, 81), (817.0, 111))
('8841', (682.0, 111), (725.0, 81))
('8842', (805.0, 81), (847.0, 111))
('8843', (712.0, 111), (755.0, 81))
('8844', (835.0, 81), (877.0, 111))
('8845', (742.0, 111), (785.0, 81))
('8846', (865.0, 81), (907.0, 111))
('8847', (772.0, 111), (815.0, 81))
('8848', (895.0, 81), (937.0, 111))
('8849', (802.0, 111), (845.0, 81))
('8850', (925.0, 81), (967.0, 111))
('8851', (832.0, 111), (875.0, 81))
('8852', (955.0, 81), (997.0, 111))
('8853', (862.0, 111), (905.0, 81))
('8854', (985.0, 81), (1027.0, 111))
('8855', (892.0, 111), (935.0, 81))
('8856', (1015.0, 81), (1057.0, 111))
('8857', (922.0, 111), (965.0, 81))
('8858', (1045.0, 81), (1087.0, 111))
('8859', (952.0, 111), (995.0, 81))
('8860', (1075.0, 81), (1117.0, 111))
('8861', (982.0, 111), (1025.0, 81))
('8862', (1105.0, 81), (1147.0, 111))
('8863', (1012.0, 111), (1055.0, 81))
